anon_id,scenario_id,arch,repeat
a001,track-log-exercise-001,monolithic,0
a002,track-get-expenses-001,supervisor,4
a003,general-followup-001,supervisor,3
a004,ambiguous-delete-last-001,supervisor,1
a005,ambiguous-missing-category-001,monolithic,4
a006,ambiguous-vague-good-day-001,monolithic,2
a007,general-capability-001,supervisor,3
a008,general-definition-001,supervisor,2
a009,ambiguous-missing-exercise-001,monolithic,4
a010,track-relog-expense-001,monolithic,2
a011,multi-expense-and-summary-001,monolithic,1
a012,ambiguous-delete-last-001,monolithic,3
a013,multi-rag-and-workouts-001,monolithic,1
a014,rag-factual-protein-001,monolithic,1
a015,ambiguous-missing-category-001,supervisor,4
a016,multi-workout-and-compare-001,monolithic,2
a017,ambiguous-vague-good-day-001,supervisor,0
a018,ambiguous-vague-good-day-001,supervisor,2
a019,multi-rag-and-workouts-001,monolithic,4
a020,general-definition-001,monolithic,0
a021,rag-factual-cancellation-001,supervisor,2
a022,rag-factual-protein-001,monolithic,3
a023,track-log-exercise-001,monolithic,4
a024,rag-summarise-001,monolithic,2
a025,rag-not-in-document-001,monolithic,1
a026,track-log-exercise-001,supervisor,3
a027,rag-factual-cancellation-001,monolithic,4
a028,general-definition-001,supervisor,0
a029,track-spending-summary-001,monolithic,1
a030,multi-expense-and-summary-001,supervisor,0
a031,multi-expense-and-workout-001,supervisor,3
a032,rag-factual-cancellation-001,monolithic,1
a033,track-log-expense-001,supervisor,1
a034,rag-factual-hydration-001,monolithic,2
a035,rag-factual-hydration-001,monolithic,0
a036,ambiguous-missing-category-001,supervisor,1
a037,ambiguous-missing-category-001,supervisor,2
a038,ambiguous-period-coffee-001,monolithic,0
a039,track-relog-expense-001,monolithic,4
a040,track-log-expense-001,monolithic,4
a041,multi-expense-and-summary-001,supervisor,1
a042,multi-expense-and-summary-001,supervisor,4
a043,general-explanation-001,supervisor,2
a044,track-log-exercise-001,supervisor,1
a045,track-spending-summary-001,supervisor,4
a046,track-log-exercise-001,supervisor,2
a047,ambiguous-vague-good-day-001,supervisor,4
a048,rag-summarise-001,supervisor,1
a049,track-spending-summary-001,supervisor,1
a050,rag-factual-cancellation-001,monolithic,3
a051,track-log-expense-002,monolithic,4
a052,general-capability-001,supervisor,0
a053,ambiguous-period-coffee-001,supervisor,3
a054,track-log-expense-001,monolithic,2
a055,rag-factual-cancellation-001,supervisor,4
a056,rag-summarise-001,supervisor,3
a057,multi-workout-and-compare-001,supervisor,4
a058,general-explanation-001,supervisor,1
a059,track-spending-summary-001,monolithic,2
